Country,InternationalCode,Label,RecordCount,Phone,Fax,Mobile,Contact,Email,Website,NationalID,GeoLevel,AdminContact,CorporateLinkage,Address
Turkey,291,"General farms, primarily animals",157,131,115,19,147,8,31,37,156,155,7,156
Turkey,711,Soil preparation services,22,16,7,2,18,1,4,14,22,13,2,22
Turkey,721,Crop planting and protection,147,92,35,21,113,7,16,146,146,108,7,146
Turkey,722,Crop harvesting,11,7,4,2,8,0,2,11,11,9,3,11
Turkey,723,Crop preparation services for market,294,258,112,2,260,6,27,293,292,276,28,292
Turkey,724,Cotton ginning,65,57,42,5,62,4,10,64,65,62,7,65
Turkey,741,Veterinary services for livestock,1304,322,54,184,495,41,174,1301,1304,1254,23,1300
Turkey,742,"Veterinary services, specialties",346,144,27,194,328,15,62,345,346,296,5,346
Turkey,751,"Livestock services, except veterinary",313,209,95,50,256,20,56,305,312,289,43,312
Turkey,752,Animal specialty services,30,22,14,8,30,3,7,29,30,29,5,30
Turkey,762,Farm management services,7,5,4,2,7,0,1,6,7,5,2,7
Turkey,781,Landscape counseling and planning,590,388,144,34,417,27,96,585,588,519,21,588
Turkey,782,Lawn and garden services,39,36,20,1,37,3,17,39,39,39,4,39
Turkey,783,Ornamental shrub and tree services,19,11,8,8,19,3,6,19,19,19,4,19
Turkey,811,Timber tracts,10,6,2,0,6,1,2,10,10,10,0,10
Turkey,831,Forest products,804,661,286,9,666,15,96,803,804,757,10,804
Turkey,851,Forestry services,38,15,8,3,18,2,5,18,38,17,4,38
Turkey,912,Finfish,119,79,21,9,88,1,7,118,119,91,4,118
Turkey,913,Shellfish,1,1,0,0,1,1,1,1,1,1,0,1
Turkey,919,Miscellaneous marine products,13,7,3,2,9,0,2,13,13,12,0,13
Turkey,921,Fish hatcheries and preserves,365,288,148,20,306,16,53,361,363,331,42,363
Turkey,971,"Hunting, trapping, game propagation",54,14,6,2,16,1,7,54,54,52,1,54
Turkey,1011,Iron ores,139,106,38,10,115,7,20,138,139,135,16,139
Turkey,1021,Copper ores,568,289,99,13,296,15,73,566,568,536,38,566
Turkey,1031,Lead and zinc ores,40,32,16,4,36,2,12,40,40,40,16,40
Turkey,1041,Gold ores,34,31,20,1,32,6,12,34,33,33,18,33
Turkey,1044,Silver ores,12,10,6,0,10,0,2,12,12,12,9,12
Turkey,1061,"Ferroalloy ores, except vanadium",69,59,40,2,60,8,20,69,69,69,26,69
Turkey,1081,Metal mining services,400,315,88,29,342,11,33,400,399,348,80,399
Turkey,1094,Uranium-radium-vanadium ores,5,4,0,0,4,0,1,5,5,4,0,5
Turkey,1099,"Metal ores, nec",23631,5971,851,1010,6906,246,1058,23600,23630,21592,989,23541
Turkey,1221,Bituminous coal and lignite-surface mining,1722,733,156,98,826,12,92,1719,1722,1493,56,1719
Turkey,1222,Bituminous coal-underground mining,292,225,90,6,229,3,24,291,292,266,18,292
Turkey,1231,Anthracite mining,110,76,35,7,83,5,15,110,110,81,14,109
Turkey,1241,Coal mining services,361,308,118,26,332,9,34,359,360,328,91,358
Turkey,1311,Crude petroleum and natural gas,3780,2218,746,167,2346,87,351,3740,3779,3433,108,3770
Turkey,1321,Natural gas liquids,11,8,5,0,8,2,2,10,10,9,8,10
Turkey,1381,Drilling oil and gas wells,62,53,28,3,55,1,13,62,62,61,17,62
Turkey,1382,Oil and gas exploration services,38,31,17,2,33,4,9,37,38,35,20,38
Turkey,1389,"Oil and gas field services, nec",23,18,8,2,20,2,5,22,23,20,7,23
Turkey,1411,Dimension stone,2850,2287,1103,93,2362,126,418,2849,2850,2738,253,2850
Turkey,1422,Crushed and broken limestone,61,48,22,4,52,2,15,61,61,60,7,61
Turkey,1423,Crushed and broken granite,15,12,11,1,13,1,7,15,15,14,5,15
Turkey,1429,"Crushed and broken stone, nec",1696,1369,606,54,1416,56,183,1695,1696,1608,155,1696
Turkey,1442,Construction sand and gravel,148,101,59,13,114,2,20,148,148,129,20,148
Turkey,1446,Industrial sand,13,11,12,0,11,1,5,13,13,13,4,13
Turkey,1455,Kaolin and ball clay,10,9,4,0,9,0,2,10,10,10,0,10
Turkey,1459,"Clay and related minerals, nec",68,61,38,2,62,7,20,67,67,65,23,67
Turkey,1474,"Potash, soda, and borate minerals",190,132,34,3,135,8,18,189,190,119,13,190
Turkey,1479,Chemical and fertilizer mining,39,36,19,1,37,5,11,38,38,37,15,38
Turkey,1481,Nonmetallic mineral services,19,16,12,1,17,0,2,19,19,18,6,19
Turkey,1499,"Miscellaneous nonmetallic minerals, except fuels",195,148,86,23,171,20,48,194,195,187,54,195
Turkey,1521,Single-family housing construction,29277,22993,8917,1010,23791,748,3134,29211,29275,24937,794,29210
Turkey,1522,"Residential construction, nec",322806,98020,20562,13281,109672,5018,21801,322489,322801,300547,5130,322204
Turkey,1531,Operative builders,1635,1299,245,43,1331,16,60,1595,1635,908,6,1635
Turkey,1541,Industrial buildings and warehouses,20115,16831,7174,324,17017,496,2158,20060,20109,19166,418,20106
Turkey,1542,"Nonresidential construction, nec",21541,17949,8627,380,18188,690,2772,21439,21483,20545,748,21460
Turkey,1611,Highway and street construction,1551,901,491,54,949,88,239,1533,1548,852,173,1545
Turkey,1622,"Bridge, tunnel, and elevated highway construction",301,248,178,16,262,31,90,293,300,280,64,298
Turkey,1623,"Water, sewer, and utility lines",766,669,389,46,709,65,197,758,765,709,128,764
Turkey,1629,"Heavy construction, nec",18530,15415,7155,232,15528,549,2278,18495,18525,17803,600,18521
Turkey,1711,"Plumbing, heating, air-conditioning",4775,2948,1542,243,3151,284,915,4765,4771,4406,139,4768
Turkey,1721,Painting and paper hanging,252,202,115,30,227,20,87,250,252,247,11,252
Turkey,1731,Electrical work,3317,2556,1689,155,2672,323,953,3304,3313,3107,162,3313
Turkey,1741,Masonry and other stonework,122,99,42,8,107,10,26,122,122,74,7,122
Turkey,1742,"Plastering, drywall, and insulation",1868,891,381,92,967,81,287,1866,1868,1748,55,1866
Turkey,1743,"Terrazzo, tile, marble and mossaic work",1234,989,454,13,997,35,124,1234,1234,1178,54,1234
Turkey,1751,Carpentry work,409,283,80,28,305,19,48,409,409,356,9,408
Turkey,1752,"Floor laying and floor work, nec",206,181,119,9,187,20,68,206,205,198,8,205
Turkey,1761,"Roofing, siding, and sheetmetal work",274,245,169,21,259,45,116,274,274,266,21,274
Turkey,1771,Concrete work,387,263,117,21,277,23,88,384,387,330,20,386
Turkey,1781,Water well drilling,46,44,32,2,46,4,13,46,46,46,6,46
Turkey,1791,Structural steel erection,212,184,124,10,193,32,86,212,212,211,18,212
Turkey,1793,Glass and glazing work,15,12,10,3,14,2,3,15,15,15,0,15
Turkey,1794,Excavation work,1426,1008,396,88,1086,67,197,1425,1426,1322,36,1426
Turkey,1795,Wrecking and demolition work,566,456,118,31,480,10,73,564,566,394,24,559
Turkey,1796,Installing building equipment,231,194,97,10,203,25,72,231,231,196,20,230
Turkey,1799,"Special trade contractors, nec",1403,1038,692,79,1103,130,359,1394,1397,1288,123,1393
Turkey,2011,Meat packing plants,560,448,214,10,457,26,75,558,559,539,56,557
Turkey,2013,Sausages and other prepared meats,564,453,224,15,467,30,90,562,564,544,66,563
Turkey,2015,Poultry slaughtering and processing,891,710,285,21,726,47,117,887,891,825,165,891
Turkey,2021,Creamery butter,600,484,223,26,505,29,97,600,599,531,65,597
Turkey,2022,Cheese; natural and processed,659,534,295,31,559,51,146,659,659,632,88,659
Turkey,2023,"Dry, condensed and evaporated dairy products",258,216,134,21,235,33,79,255,258,248,63,258
Turkey,2024,Ice cream and frozen deserts,186,140,69,18,157,21,59,182,186,160,40,186
Turkey,2026,Fluid milk,324,270,193,26,296,37,107,322,324,307,86,323
Turkey,2032,Canned specialties,255,191,99,10,199,23,58,253,255,203,48,255
Turkey,2033,Canned fruits and specialties,786,632,348,78,705,73,206,780,785,605,216,783
Turkey,2034,"Dried and dehydrated fruits, vegetables and soup mixes",571,489,273,27,510,54,137,569,571,550,79,571
Turkey,2035,"Pickles, sauces, and salad dressings",180,147,100,11,157,28,59,177,180,173,54,180
Turkey,2037,Frozen fruits and vegetables,129,104,66,13,115,21,45,127,129,121,46,129
Turkey,2038,"Frozen specialties, nec",101,76,25,7,81,4,19,101,101,76,16,101
Turkey,2041,Flour and other grain mill products,1086,903,469,49,943,76,255,1078,1085,985,203,1085
Turkey,2043,Cereal breakfast foods,231,218,200,5,223,22,83,40,231,230,10,231
Turkey,2044,Rice milling,50,44,36,2,46,3,20,49,50,49,7,50
Turkey,2045,Prepared flour mixes and doughs,4118,1114,85,156,1252,42,246,4116,4118,3870,84,4113
Turkey,2046,Wet corn milling,90,82,64,2,84,9,32,88,89,86,28,89
Turkey,2047,Dog and cat food,37,31,20,2,32,6,16,27,37,35,10,37
Turkey,2048,"Prepared feeds, nec",1004,652,410,48,697,80,235,1001,1001,917,252,999
Turkey,2051,"Bread, cake, and related products",3951,2718,754,225,2893,142,579,3947,3951,3525,266,3944
Turkey,2052,Cookies and crackers,159,125,68,13,138,26,48,157,159,140,34,158
Turkey,2053,"Frozen bakery products, except bread",81,66,43,7,72,8,33,80,81,78,17,81
Turkey,2061,Raw cane sugar,47,42,25,1,43,4,12,45,47,41,12,47
Turkey,2062,Cane sugar refining,31,21,12,0,21,7,12,31,31,25,23,31
Turkey,2063,Beet sugar,25,21,14,0,21,6,9,25,25,25,13,25
Turkey,2064,Candy and other confectionery products,902,562,288,53,608,95,258,897,901,800,120,897
Turkey,2066,Chocolate and cocoa products,421,211,126,18,227,40,102,420,419,409,64,419
Turkey,2067,Chewing gum,23,19,17,1,20,6,13,23,23,22,11,23
Turkey,2068,Salted and roasted nuts and seeds,260,228,147,19,246,32,107,258,259,250,69,259
Turkey,2074,Cottonseed oil mills,111,91,33,9,100,5,17,109,111,71,11,111
Turkey,2075,Soybean oil mills,25,21,19,1,22,4,10,25,25,25,11,25
Turkey,2076,"Vegetable oil mills, nec",162,147,115,8,155,18,54,159,162,158,40,162
Turkey,2077,Animal and marine fats and oils,31,30,22,1,31,5,8,31,31,31,10,31
Turkey,2079,Edible fats and oils,710,582,333,30,611,42,141,705,710,682,98,710
Turkey,2082,Malt beverages,1303,1028,388,12,1032,37,125,1302,1303,1212,45,1303
Turkey,2083,Malt,2,1,1,0,1,1,1,2,2,2,0,2
Turkey,2084,"Wines, brandy, and brandy spirits",244,137,46,21,158,16,47,244,243,204,56,242
Turkey,2085,Distilled and blended liquors,1234,993,375,10,995,34,109,1234,1234,1144,25,1234
Turkey,2086,Bottled and canned soft drinks,1743,1434,598,33,1458,66,207,1737,1741,1606,122,1739
Turkey,2087,"Flavoring extracts and syrups, nec",66,49,36,8,56,12,26,65,65,63,13,65
Turkey,2091,Canned and cured fish and seafoods,77,63,36,5,68,6,20,76,77,60,21,77
Turkey,2092,Fresh or frozen packaged fish,133,110,55,5,114,5,19,133,133,122,8,133
Turkey,2095,Roasted coffee,142,117,65,13,130,18,46,142,142,141,19,142
Turkey,2096,Potato chips and similar snacks,65,49,24,8,57,6,20,65,65,62,16,65
Turkey,2097,Manufactured ice,15,14,6,0,14,3,6,15,15,15,2,15
Turkey,2098,Macaroni and spaghetti,39,36,28,0,36,11,19,39,39,37,12,39
Turkey,2099,"Food preparations, nec",32619,8819,1608,1216,9902,518,2238,32550,32611,30714,745,32574
Turkey,2111,Cigarettes,39,31,11,3,34,7,10,39,39,38,13,39
Turkey,2121,Cigars,7,5,2,1,6,1,1,7,7,7,1,7
Turkey,2131,Chewing and smoking tobacco,38,36,18,0,36,3,11,37,38,37,11,38
Turkey,2141,Tobacco stemming and redrying,12,11,6,1,11,4,6,11,12,11,4,12
Turkey,2211,"Broadwoven fabric mills, cotton",4668,3254,1917,149,3372,367,1099,4660,4662,4479,325,4660
Turkey,2221,"Broadwoven fabric mills, manmade",608,523,360,10,531,57,163,602,604,581,61,604
Turkey,2231,"Broadwoven fabric mills, wool",969,852,523,14,863,66,210,967,965,860,54,965
Turkey,2241,Narrow fabric mills,1015,805,406,22,822,42,161,1015,1013,979,29,1011
Turkey,2251,"Women's hosiery, except socks",59,50,37,4,54,2,23,58,59,51,6,59
Turkey,2252,"Hosiery, nec",515,334,214,17,348,29,127,515,514,499,28,514
Turkey,2253,Knit outerwear mills,1267,731,380,41,762,57,233,1265,1265,1203,66,1263
Turkey,2254,Knit underwear mills,64,57,34,3,59,7,21,64,63,64,5,63
Turkey,2257,Weft knit fabric mills,136,129,118,3,131,29,76,136,136,135,25,136
Turkey,2258,Lace and warp knit fabric mills,848,729,384,18,737,37,152,848,848,831,20,847
Turkey,2259,"Knitting mills, nec",1380,1163,601,20,1174,54,217,1378,1379,1316,69,1379
Turkey,2261,"Finishing plants, cotton",136,122,92,8,129,19,59,136,136,136,17,136
Turkey,2262,"Finishing plants, manmade",18,17,13,0,17,2,8,18,18,17,1,17
Turkey,2269,"Finishing plants, nec",291,272,209,3,274,55,126,291,291,275,48,290
Turkey,2273,Carpets and rugs,3542,2192,783,151,2314,135,525,3540,3535,3052,199,3531
Turkey,2281,Yarn spinning mills,1616,1411,1020,27,1428,166,500,1614,1611,1560,228,1604
Turkey,2282,Throwing and winding mills,58,49,39,5,53,4,17,58,58,58,7,58
Turkey,2284,Thread mills,62,56,47,2,58,9,26,60,62,61,11,62
Turkey,2295,"Coated fabrics, not rubberized",123,101,65,0,101,16,46,122,123,116,17,123
Turkey,2296,Tire cord and fabrics,10,10,8,0,10,2,6,10,10,10,2,10
Turkey,2297,Nonwoven fabrics,62,52,35,4,55,11,21,62,61,60,9,61
Turkey,2298,Cordage and twine,119,109,79,3,111,25,59,118,117,118,22,118
Turkey,2299,"Textile goods, nec",26455,13257,5234,797,13840,568,2621,26425,26448,24888,524,26424
Turkey,2311,Men's and boy's suits and coats,810,608,232,15,619,29,104,809,803,555,77,802
Turkey,2321,Men's and boy's furnishings,8419,6929,3071,61,6948,131,756,8418,8416,8171,134,8416
Turkey,2322,Men's and boy's underwear and nightwear,205,180,136,7,187,27,79,204,205,187,37,205
Turkey,2323,Men's and boy's neckwear,62,51,22,3,54,4,10,62,62,54,1,62
Turkey,2325,Men's and boy's trousers and slacks,98,84,68,0,84,13,48,98,98,96,26,98
Turkey,2326,Men's and boy's work clothing,292,254,174,10,262,38,117,289,291,281,30,291
Turkey,2329,"Men's and boy's clothing, nec",10966,8952,4348,244,9115,391,1622,10963,10940,10624,597,10923
Turkey,2331,Women's and misses' blouses and shirts,8437,6954,3112,60,6972,133,767,8436,8433,8203,114,8433
Turkey,2335,"Women's, junior's, and misses' dresses",95,71,41,3,74,3,29,95,95,82,21,95
Turkey,2337,Women's and misses' suits and coats,55,49,41,0,49,8,23,55,54,54,13,54
Turkey,2339,"Women's and misses' outerwear, nec",11287,9287,4642,249,9452,423,1788,11285,11272,10971,612,11265
Turkey,2341,Women's and children's underwear,236,212,175,5,217,37,107,234,235,221,42,231
Turkey,2342,"Bras, girdles, and allied garments",28,24,17,0,24,3,13,28,28,28,15,28
Turkey,2353,"Hats, caps, and millinery",115,100,49,1,101,4,16,113,115,91,3,114
Turkey,2361,"Girl's and children's dresses, blouses",35,23,13,2,24,3,15,35,35,28,26,35
Turkey,2369,"Girl's and children's outerwear, nec",216,179,133,16,191,31,97,216,216,200,42,214
Turkey,2371,Fur goods,90,70,55,11,81,10,21,56,90,81,7,90
Turkey,2381,Fabric dress and work gloves,14,11,9,1,12,2,4,14,14,14,2,14
Turkey,2384,Robes and dressing gowns,24,22,19,0,22,4,18,24,24,24,4,24
Turkey,2385,Waterproof outerwear,11,9,8,0,9,1,3,11,10,11,0,10
Turkey,2386,Leather and sheep-lined clothing,2126,1799,872,18,1813,60,235,2063,2116,1989,174,2115
Turkey,2387,Apparel belts,6,6,4,0,6,1,4,6,6,6,2,6
Turkey,2389,"Apparel and accessories, nec",60,53,35,4,57,10,26,60,59,60,3,58
Turkey,2391,Curtains and draperies,783,702,441,9,706,62,216,782,783,771,61,783
Turkey,2392,"Household furnishings, nec",429,336,202,19,350,44,135,429,429,380,46,429
Turkey,2393,Textile bags,209,192,157,11,202,18,73,104,209,208,14,209
Turkey,2394,Canvas and related products,74,64,50,5,69,16,45,74,74,73,4,74
Turkey,2395,Pleating and stitching,34,30,23,2,32,2,14,34,34,34,3,34
Turkey,2396,Automotive and apparel trimmings,75,72,49,1,73,15,41,74,75,74,7,75
Turkey,2397,Schiffli machine embroideries,1,0,0,0,0,0,0,0,0,1,0,0
Turkey,2399,"Fabricated textile products, nec",58854,19501,3570,2302,21436,956,4375,58693,58851,53301,1360,58759
Turkey,2411,Logging,164,132,87,17,147,17,50,111,163,159,8,163
Turkey,2421,"Sawmills and planing mills, general",446,263,75,66,325,15,44,445,446,261,9,443
Turkey,2426,Hardwood dimension and flooring mills,136,116,88,8,123,23,46,134,136,129,22,134
Turkey,2429,"Special product sawmills, nec",5,3,3,0,3,0,2,5,4,4,2,4
Turkey,2431,Millwork,357,319,239,19,336,53,145,357,357,341,35,357
Turkey,2434,Wood kitchen cabinets,110,102,80,6,107,22,50,110,108,110,7,107
Turkey,2435,Hardwood veneer and plywood,68,62,43,2,63,12,24,67,67,65,12,67
Turkey,2436,Softwood veneer and plywood,34,30,21,0,30,5,11,34,34,32,5,34
Turkey,2439,"Structural wood members, nec",87,70,33,1,71,7,21,87,87,80,7,87
Turkey,2441,Nailed wood boxes and shook,36,35,25,1,35,5,13,36,36,32,1,36
Turkey,2448,Wood pallets and skids,118,87,57,24,106,12,38,117,118,115,5,118
Turkey,2449,"Wood containers, nec",27,26,18,2,27,4,15,27,27,22,1,27
Turkey,2451,Mobile homes,116,68,19,2,70,5,19,115,116,92,4,116
Turkey,2452,Prefabricated wood buildings,29,25,22,2,27,4,14,29,29,28,8,29
Turkey,2491,Wood preserving,35,28,20,4,31,2,15,34,34,35,3,34
Turkey,2493,Reconstituted wood products,140,117,85,14,130,14,46,139,140,133,41,140
Turkey,2499,"Wood products, nec",936,728,418,34,755,82,220,925,933,882,89,933
Turkey,2511,Wood household furniture,22046,9020,2555,927,9779,599,2636,22038,22045,20518,459,22009
Turkey,2512,Upholstered household furniture,3816,3148,1356,52,3163,137,620,3816,3816,3543,74,3815
Turkey,2514,Metal household furniture,440,391,287,17,404,41,129,252,439,393,19,438
Turkey,2515,Mattresses and bedsprings,144,118,68,7,124,23,67,143,144,136,27,144
Turkey,2517,Wood television and radio cabinets,6,6,6,0,6,1,3,6,6,6,0,6
Turkey,2519,"Household furniture, nec",368,314,234,21,332,57,177,368,360,357,66,360
Turkey,2521,Wood office furniture,3828,3171,1413,56,3191,161,672,3800,3826,3577,84,3826
Turkey,2522,"Office furniture, except wood",145,135,112,1,136,26,77,145,145,140,16,144
Turkey,2531,Public building and related furniture,448,345,159,60,400,57,184,448,448,443,37,448
Turkey,2541,Wood partitions and fixtures,51,46,30,2,48,11,25,51,51,51,12,51
Turkey,2542,"Partitions and fixtures, except wood",80,79,70,1,79,19,52,80,80,80,11,80
Turkey,2591,Drapery hardware and window blinds and shades,1207,854,418,32,877,53,216,1207,1207,1166,24,1207
Turkey,2599,"Furniture and fixtures, nec",261,241,198,11,248,51,139,252,261,257,35,260
Turkey,2611,Pulp mills,29,24,14,3,26,2,6,29,29,27,7,29
Turkey,2621,Paper mills,3978,1883,783,123,1981,145,479,3969,3976,3783,120,3975
Turkey,2631,Paperboard mills,692,595,388,18,607,70,225,692,692,684,75,691
Turkey,2652,Setup paperboard boxes,141,122,72,4,126,12,43,141,141,131,12,141
Turkey,2653,Corrugated and solid fiber boxes,490,405,229,14,416,41,123,490,489,421,22,489
Turkey,2655,"Fiber cans, drums, and similar products",103,87,49,2,89,12,27,102,103,92,9,102
Turkey,2656,Sanitary food containers,80,66,40,7,73,7,24,80,80,79,8,80
Turkey,2657,Folding paperboard boxes,46,40,22,5,44,10,17,46,46,46,3,46
Turkey,2671,Paper; coated and laminated packaging,503,446,338,30,470,71,182,377,503,500,59,503
Turkey,2672,"Paper; coated and laminated, nec",346,277,225,8,282,39,122,219,344,342,19,344
Turkey,2673,"Bags: plastic, laminated, and coated",291,267,201,11,275,41,119,289,290,289,20,290
Turkey,2674,Bags: uncoated paper and multiwall,97,80,57,4,83,21,39,97,96,96,10,96
Turkey,2675,Die-cut paper and board,84,64,39,4,68,12,27,84,83,75,40,83
Turkey,2676,Sanitary paper products,175,152,106,9,160,24,65,174,173,172,24,172
Turkey,2677,Envelopes,5,5,5,0,5,1,4,5,5,5,0,5
Turkey,2678,Stationery products,3946,3349,1804,56,3377,190,752,3939,3946,3852,90,3946
Turkey,2679,"Converted paper products, nec",379,326,223,25,347,51,148,378,378,377,43,378
Turkey,2711,Newspapers,1710,664,156,83,740,40,186,1706,1707,1525,72,1698
Turkey,2721,Periodicals,174,140,79,9,149,13,44,171,174,152,21,174
Turkey,2731,Book publishing,9488,5129,1915,279,5367,313,1300,9466,9488,9041,200,9471
Turkey,2732,Book printing,462,406,264,11,415,38,129,337,462,430,20,461
Turkey,2741,Miscellaneous publishing,1001,410,108,45,448,32,129,997,1001,953,32,998
Turkey,2752,"Commercial printing, lithographic",354,222,118,13,233,33,82,351,354,300,8,354
Turkey,2754,"Commercial printing, gravure",58,55,47,1,55,11,36,58,58,58,5,58
Turkey,2759,"Commercial printing, nec",3349,2190,1023,145,2302,207,714,3312,3347,2938,108,3344
Turkey,2771,Greeting cards,3,3,2,0,3,0,0,3,3,3,1,3
Turkey,2782,Blankbooks and looseleaf binders,40,36,11,2,38,1,4,40,40,30,7,40
Turkey,2789,Bookbinding and related work,240,170,65,11,180,12,30,239,240,195,6,240
Turkey,2791,Typesetting,33,17,4,0,17,0,3,32,33,31,1,33
Turkey,2796,Platemaking services,20,17,8,0,17,2,7,20,20,19,1,20
Turkey,2812,Alkalies and chlorine,85,63,25,6,68,7,18,85,85,65,7,85
Turkey,2813,Industrial gases,391,364,324,11,374,61,169,93,391,384,48,391
Turkey,2816,Inorganic pigments,69,57,37,1,58,9,23,69,69,68,13,69
Turkey,2819,"Industrial inorganic chemicals, nec",11649,4892,1974,324,5186,314,1065,11296,11648,11101,315,11633
Turkey,2821,Plastics materials and resins,3048,2582,1459,50,2622,193,551,3038,3048,2956,144,3048
Turkey,2822,Synthetic rubber,2714,2296,1127,36,2322,111,345,2713,2714,2601,53,2714
Turkey,2823,Cellulosic manmade fibers,11,10,6,0,10,2,7,11,11,11,2,11
Turkey,2824,"Organic fibers, noncellulosic",27,27,23,0,27,8,14,26,27,26,5,27
Turkey,2833,Medicinals and botanicals,84,70,35,5,74,8,24,80,84,73,18,84
Turkey,2834,Pharmaceutical preparations,1517,873,415,46,915,89,251,1499,1511,1426,166,1511
Turkey,2835,Diagnostic substances,13,11,9,1,12,2,8,11,13,11,6,13
Turkey,2836,"Biological products, except diagnostic",16,14,11,1,15,5,8,16,16,16,1,16
Turkey,2841,Soap and other detergents,411,334,223,27,359,55,138,411,411,389,63,411
Turkey,2842,Polishes and sanitation goods,199,177,115,6,183,31,84,198,198,197,23,198
Turkey,2843,Surface active agents,20,20,16,0,20,2,5,20,20,20,4,20
Turkey,2844,"Perfumes, cosmetics and other toilet preparations",3453,1732,702,121,1832,146,493,3444,3452,3339,198,3452
Turkey,2851,Paints and allied products,3801,1846,748,133,1959,139,512,3791,3800,3544,167,3794
Turkey,2861,Gum and wood chemicals,110,77,24,5,81,6,9,109,109,73,5,109
Turkey,2865,Cyclic crudes and intermediates,73,58,46,1,59,12,26,72,70,71,13,70
Turkey,2869,"Industrial organic chemicals, nec",2828,2338,1431,38,2364,169,523,2524,2827,2713,125,2827
Turkey,2873,Nitrogenous fertilizers,174,135,93,19,153,24,44,171,173,166,41,173
Turkey,2874,Phosphatic fertilizers,67,46,30,8,54,12,15,67,67,67,24,67
Turkey,2875,"Fertilizers, mixing only",66,56,38,4,60,6,14,66,65,63,15,65
Turkey,2879,"Agricultural chemicals, nec",522,389,137,24,410,18,68,517,521,382,48,519
Turkey,2891,Adhesives and sealants,260,221,171,14,235,46,103,255,258,245,46,258
Turkey,2892,Explosives,30,27,14,2,28,2,13,30,29,30,11,29
Turkey,2893,Printing ink,53,52,44,1,53,6,27,53,53,53,10,53
Turkey,2895,Carbon black,2,1,1,0,1,0,0,2,2,2,1,2
Turkey,2899,"Chemical preparations, nec",557,465,353,15,480,87,219,546,553,519,127,547
Turkey,2911,Petroleum refining,642,539,264,13,548,43,94,601,642,552,72,641
Turkey,2951,Asphalt paving mixtures and blocks,60,52,29,5,55,6,20,60,60,52,16,60
Turkey,2952,Asphalt felts and coatings,62,56,46,3,59,12,25,61,62,61,20,62
Turkey,2992,Lubricating oils and greases,106,92,67,2,93,22,43,105,106,97,44,106
Turkey,2999,"Petroleum and coal products, nec",523,449,135,19,463,20,56,484,522,427,97,522
Turkey,3011,Tires and inner tubes,7570,2510,913,209,2666,123,567,7564,7570,7331,73,7569
Turkey,3021,Rubber and plastics footwear,266,220,153,14,234,18,82,227,265,248,21,265
