UniqueID,CompanyName,TradeName,Address1,Address2,PostCode,City,CityCode,Locality,LocalityCode,Province,ProvinceCode,Region,RegionCode,Country,CountryCode,Language,PhoneOrMobile,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCode,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode,InternationalLabel,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHere,EmployeesHereReliabilityCode,EmployeesHereReliabilityCodeDescription,EmployeesTotal,EmployeesTotalReliabilityCode,EmployeesTotalReliabilityCodeDescription,ImportExportAgentCode,ImportExportAgentCodeDescription,LegalStatusCode,LegalStatusCodeDescription,StatusCode,StatusCodeDescription,SalesVolumeLocal,CurrencyCode,SalesVolumeDollars,SalesVolumeEuros,SalesVolumeReliabilityCode,SalesVolumeReliabilityCodeDescription
476916668,ARSLAN GIDA TEKSTIL TUPGAZ TICARETI ORMAN URUNLERI DAYANIKLI TUKETIM MALLARI INSAAT MALZEM,,OVA MAH.2 SOK.NO:16/B,,,Adana,TR01922,,,Adana,TR01,,,Turkey,TR,TUR,0322 428 3629,0322 428 3629,,,,,41075.0,102.0,Local Government Registration Number,False,5141,"Groceries, general line",,,,,,,,,,,,2,3,Modeled,2,3,Modeled,G,None or Not Available,,,0,SingleLocation,8761727,TRY,281304,235611,3,Modeled
630996857,S.S. MALIHIDIRLI KOYU TARIMSAL KALKINMA KOOP,,"BELEDIYE SARAYI KARSISI NO:,  20-FIATMA MEYDAN MAH.",,,Kars,TR36278,,,Kars,TR36,,,Turkey,TR,TUR,,,,,,,189.0,102.0,Local Government Registration Number,False,8611,Business associations,,,,,,Lutfi Zenbilci,Chairman,LUTFI,ZENBILCI,,,1,3,Modeled,1,3,Modeled,G,None or Not Available,100.0,Cooperative,0,SingleLocation,5344903,TRY,129197,108211,3,Modeled
467247548,GUCLU TICARET LIMITED SIRKETI,,NO.23/A DUMLUPINAR MAH.GOZDAGI CAD.,PENDIK,,Çamçeşme,TR34020,,,İstanbul,TR34,,,Turkey,TR,TUR,0212 247 1379,0212 247 1379,,,,,333967.0,102.0,Local Government Registration Number,False,181,Ornamental nursery products,,,,1994.0,,Mustafa Isik,Partner,MUSTAFA,ISIK,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,7073351,TRY,227097,190209,3,Modeled
465965350,MAYA ULUSLARARASI NAKLIYAT VE DIS TICARET TURIZM LIMITED SIRKETI,,KEMANKES MAH.RIHTIM CAD. KOZLUCA ISHANI K.3,BEYOGLU,34425.0,Taksim,TR34009,,,İstanbul,TR34,,,Turkey,TR,TUR,0212 243 6209,0212 243 6209,,,,http://www.mavi-intl.com/,354931.0,102.0,Local Government Registration Number,False,4449,Water transportation of freight,,,,1996.0,,Safak Erman,Partner,SAFAK,ERMAN,Male,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,10411964,TRY,251678,210798,3,Modeled
467418925,SAHIN OTOMOTIV MONTAJ MAKINA YEDEKPARCA TASIMACILIK BRANDA URETIM SANAYI VE TICARET LIMITE,,NO.57 GUNGOREN CEVRE KUCUK SANAYI SITESI 8.BLOK,KUCUKCEKMECE,34290.0,Yenidoğan,TR34006,,,İstanbul,TR34,,,Turkey,TR,TUR,0216 410 6218,0216 410 6218,,,,,379348.0,102.0,Local Government Registration Number,False,3714,Motor vehicle parts and accessories,,,,1997.0,,Sahin Ilgin,Partner,SAHIN,ILGIN,,,4,3,Modeled,4,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,21306796,TRY,684076,572961,3,Modeled
706955862,S VE S KIMYA SANAYI VE TICARET LIMITED SIRKETI,,"ARAYLAR SANAYI SITESI B BLOK,  NO:9B-23 TEPEOREN MAHALLESI","OZVATAN CADDESI, TUZLA",34959.0,Evliya Çelebi,TR34023,,,İstanbul,TR34,,,Turkey,TR,TUR,,,,,,,245840.0,102.0,Local Government Registration Number,False,2819,"Industrial inorganic chemicals, nec",,,,2020.0,,Semih Ramazan Karaosmanoglu,Manager,Semih Ramazan,Karaosmanoglu,,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,27824508,TRY,672574,563328,3,Modeled
706734929,KASA TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,,NO:34A YUKARI DUDULLU MAHALLESI,"YUCE SOKAK, UMRANIYE",34775.0,Atatürk,TR34024,,,İstanbul,TR34,,,Turkey,TR,TUR,,,,,,,162674.0,102.0,Local Government Registration Number,False,2399,"Fabricated textile products, nec",,,,2018.0,,Saban Bilgin,Manager,Saban,Bilgin,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,9073225,TRY,219318,183694,3,Modeled
476753028,ATAK MEDIKAL URUNLERI OTOMOTIV SANAYI VE TICARET LIMITED SIRKETI,,MAHMUT YESARI SOK.NO.91 KAT.1,KOSUYOLU,34718.0,Caferağa,TR34015,,,İstanbul,TR34,,,Turkey,TR,TUR,0216 550 0344,0216 550 0344,,,,,640431.0,102.0,Local Government Registration Number,False,5047,Medical and hospital equipment,,,,2007.0,,Hasan Ustoglu,,HASAN,USTOGLU,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,23096244,TRY,741528,621081,3,Modeled
466719561,VERA MIMARLIK MUHENDISLIK MUSAVIRLIK SANAYI VE TICARET LTD STI,,RASIMPASA MAH.RECAIZADE SOK. NO.21/4,KADIKOY,34716.0,Caferağa,TR34015,,,İstanbul,TR34,,,Turkey,TR,TUR,0216 550 8128,0216 550 8128,0216 414 0173,,,,578626.0,102.0,Local Government Registration Number,False,1521,Single-family housing construction,,,,2006.0,,Hayrettin Ozcan,Manager,HAYRETTIN,OZCAN,,,1,3,Modeled,1,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,3848689,TRY,123566,103495,3,Modeled
631169519,EPIK AKYAKA TURIZM TICARET LIMITED SIRKETI,,NO:75 AKYAKA MAHALLESI,"INISDIBI CADDESI, ULA",48640.0,Örnekköy,TR48907,,,Muğla,TR48,,,Turkey,TR,TUR,,,,,,,7679.0,102.0,Local Government Registration Number,False,4725,Tour operators,,,,2018.0,,Colpan Epik,Manager,Colpan,Epik,,,5,3,Modeled,5,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,42668377,TRY,1031380,863853,3,Modeled
706990575,LOKAS MOBILYA DAYANIKLI TUKETIM MALLARI TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,,"SENBAYRAK PLAZA,  NO:25-4C YUZUNCUYIL MAHALLESI DR.SADIK AHMET B",CUKUROVA,1360.0,Kurttepe,TR01706,,,Adana,TR01,,,Turkey,TR,TUR,,,,,,,96401.0,102.0,Local Government Registration Number,False,2511,Wood household furniture,,,M,2024.0,,Harun Resit Lokce,Manager,Harun Resit,Lokce,,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,10988499,TRY,265614,222470,3,Modeled
616408593,IBC GULER DIS TICARET LIMITED SIRKETI,,"BUSRA APARTMANI KAT:4,  NO:56 ODABASI BELDESI KAVALI MAHALLESI","ATATURK CADDESI, ANTAKYA",31030.0,Hatay,TR31962,,,Hatay,TR31,,,Turkey,TR,TUR,0326 221 4455,0326 221 4455,,,,,12704.0,102.0,Local Government Registration Number,False,5099,"Durable goods, nec",,,,2012.0,,Ahmet Bunyamin Yavuz,Manager,Ahmet Bunyamin,Yavuz,,,8,0,Actual,8,0,Actual,G,None or Not Available,3.0,Corporation,0,SingleLocation,36028495,TRY,6313309,5287840,0,Actual
792530628,BIRLESIK AKRILIK SANAYI TIC.LTD.STI.,,YAHYA KEMAL MAH. MITHAT PASA CAD. NO:33 KAGITHANE,KAGITHANE,80640.0,İslambey,TR34033,,,İstanbul,TR34,,,Turkey,TR,TUR,0212 321 3200,0212 321 3200,0212 294 5788,,,http://www.birlesikakrilik.com,,,,,3999,"Manufacturing industries, nec",,,,1985.0,,Erman Polat,Manager,ERMAN,POLAT,Male,,2,3,Modeled,2,3,Modeled,G,None or Not Available,,,0,SingleLocation,7114745,TRY,221048,185143,3,Modeled
862300658,TUUNDESIGN OFIS MOBILYALARI SANAYI TICARET LIMITED SIRKETI,,NO:79B YAKUPLU MAHALLESI MARESAL FEVZI CAKMAK CADDESI,BEYLIKDUZU,34524.0,Yakuplu,TR34036,,,İstanbul,TR34,,,Turkey,TR,TUR,,,,,,,1079268.0,102.0,Local Government Registration Number,False,2511,Wood household furniture,,,M,2025.0,,Yahya Tuncer,Manager,Yahya,Tuncer,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,8549165,TRY,265614,222470,3,Modeled
614100665,ERBA OTELCILIK LOKANTACILIK VE TURIZM TICARET LIMITED SIRKETI,,"ALI FAIK HAN,  NO:2B BINBIRDIREK MAHALLESI","ISILTI SOKAK, FATIH",,Kordonboyu,TR34017,,,İstanbul,TR34,,,Turkey,TR,TUR,,,,,,,729883.0,102.0,Local Government Registration Number,False,5812,Eating places,,,,2010.0,,Giyasedin Bingol,Manager,GIYASEDIN,BINGOL,,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,9647733,TRY,233205,195325,3,Modeled
862237266,BRANCHSIGHT BILGI TEKNOLOJILERI ANONIM SIRKETI,,"D:1,  NO: 5 ESENTEPE MAHALLESI","TALAT PAsA CADDESI, SISLI",34394.0,İdealtepe,TR34019,,,İstanbul,TR34,,,Turkey,TR,TUR,0555 794 2004,,,0555 794 2004,,,415992.0,102.0,Local Government Registration Number,False,5999,"Miscellaneous retail stores, nec",,,,2022.0,,,,,,,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,10476502,TRY,253238,212104,3,Modeled
630960174,TUNAZADE INSAAT GAYRIMENKUL MUHENDISLIK MUSAVIRLIK VE TICARET LIMITED SIRKETI,,NO:18B AKSEMSETTIN MAHALLESI,"CAGLAYAN CADDESI, SINCAN",6934.0,Tandoğan,TR06988,,,Ankara,TR06,,,Turkey,TR,TUR,,,,,,,417024.0,102.0,Local Government Registration Number,False,1522,"Residential construction, nec",,,,2018.0,,Yahya Tuna,Manager,Yahya,Tuna,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,10011625,TRY,242001,202692,3,Modeled
476913112,POLO GIYIM SANAYI VE TICARET ANONIM SIRKETI,POLO GIYIM SANAYI VE TICARET A S - ADANA SUBESI,M1 TEPE ADANA ALISVERIS MERKEZI ZENCIRLIBAGLAR MAH.NO:50-51-52,"NULL, NULL",,Adana,TR01922,,,Adana,TR01,,,Turkey,TR,TUR,0322 271 0194,0322 271 0194,,,,,39451.0,102.0,Local Government Registration Number,False,2329,"Men's and boy's clothing, nec",,,,,22.0,,,,,,,0,2,Estimated,0,2,Estimated,G,None or Not Available,,,2,Branch,0,,0,0,2,Estimated
862333558,HASIRCI BROTHERS KAFE ISLETMECILIGI VE TICARET LIMITED SIRKETI,,"ALI ATAKAN APARTMANI,  NO:160A CEKMECE MAHALLESI CEKMECE CADDESI",DEFNE,31160.0,Armutlu,TR31927,,,Hatay,TR31,,,Turkey,TR,TUR,,,,,,,24781.0,102.0,Local Government Registration Number,False,5812,Eating places,,,M,2025.0,,Serdal Hasirci,Manager,Serdal,Hasirci,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,9269248,TRY,233205,195325,3,Modeled
616408570,GRATIS IC VE DIS TICARET ANONIM SIRKETI,GRATIS IC VE DIS TICARET ANONIM SIRKETI- ADANA ZIYAPASA SUBESI,"GUL AP. B BLOK NO:24 ZEMIN VE,  BODRUM CEMALPASA MAH. 63001 SOK.",SEYHAN,1120.0,Adana,TR01922,,,Adana,TR01,,,Turkey,TR,TUR,,,,,,,65045.0,102.0,Local Government Registration Number,False,5411,Grocery stores,,,,,33.0,Demir Sabanci,Chairman,DEMIR,SABANCI,,,0,2,Estimated,0,2,Estimated,G,None or Not Available,,,2,Branch,0,,0,0,2,Estimated
862276390,TA TEKSTIL DIS TICARET ANONIM SIRKETI,,NO:13 LEVENT MAHALLESI,"KARANFIL SOKAK, BESIKTAS",34330.0,Yıldız,TR34007,,,İstanbul,TR34,,,Turkey,TR,TUR,,,,,,,1074331.0,102.0,Local Government Registration Number,False,5611,Men's and boys' clothing stores,,,M,2025.0,,Tijen Esencan,Chairman,Tijen,Esencan,Female,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,8339920,TRY,228764,191605,3,Modeled
706831996,MEDICORUM ILAC KOZMETIK SANAYI VE TICARET LIMITED SIRKETI,,"KIZIL ISIK APT.,  NO:34-4 SIYAVUSPASA MAHALLESI","CAM SOKAK, BAHCELIEVLER",34180.0,Bahçelievler,TR34005,,,İstanbul,TR34,,,Turkey,TR,TUR,,,,,,,200294.0,102.0,Local Government Registration Number,False,2844,"Perfumes, cosmetics and other toilet preparations",,,,2019.0,,Senanur Tarhan,Manager,Senanur,Tarhan,,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,13746980,TRY,332292,278317,3,Modeled
613865625,MURAT GUR,,OSMANLI C N:24/6 BALGAT,CANKAYA,6520.0,Ankara,TR06986,,,Ankara,TR06,,,Turkey,TR,TUR,0312 331 0032,0312 331 0032,,,,,194447.0,102.0,Local Government Registration Number,False,5999,"Miscellaneous retail stores, nec",,,,2004.0,,Murat Gur,Manager,MURAT,GUR,Male,,2,3,Modeled,2,3,Modeled,G,None or Not Available,100.0,Cooperative,0,SingleLocation,10476502,TRY,253238,212104,3,Modeled
613773598,FERPET INSAAT PETROL NAKLIYAT SANAYI VE TICARET ANONIM SIRKETI,,NO:17D/1 OSMAN GAZI MAHALLESI,"385 SOKAK, HALILIYE",63050.0,Şanlıurfa,TR63262,,,Şanlıurfa,TR63,,,Turkey,TR,TUR,0532 205 8041,,0312 491 5913,0532 205 8041,,,19041.0,102.0,Local Government Registration Number,False,5541,Gasoline service stations,,,,2016.0,,Cuma Culcu,Chairman,Cuma,Culcu,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,45429174,TRY,1098114,919747,3,Modeled
862339164,CIRRUS YAPI TURIZM GIDA SANAYI TICARET LIMITED SIRKETI,,NO:1A VALI RAHMI BEY MAHALLESI 158/1 SOKAK,BUCA,35380.0,Yenigün,TR35692,,,İzmir,TR35,,,Turkey,TR,TUR,,,,,,,266688.0,102.0,Local Government Registration Number,False,1522,"Residential construction, nec",,,M,2025.0,,Gulcan Erdal,Manager,Gulcan,Erdal,Female,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,9618864,TRY,242001,202692,3,Modeled
476723026,OZMAYA YAPI MUHENDISLIK SANAYI VE DIS TICARET LIMITED SIRKETI,,YILDIRIM MAH.AVAZKOY YOLU,"NO.16/A, BAYRAMPASA",34045.0,Yenidoğan,TR34006,,,İstanbul,TR34,,,Turkey,TR,TUR,0212 417 6978,0212 417 6978,,,,,695708.0,102.0,Local Government Registration Number,False,1522,"Residential construction, nec",,,,2009.0,,Tayfun Kurtay,Partner,TAYFUN,KURTAY,Male,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,7537563,TRY,242001,202692,3,Modeled
615028834,ECON DIS TICARET LIMITED SIRKETI,,GAZIANTEP YOLU UZERI 6KM DSI KARSISI,MERKEZ,,Kahramanmaraş,TR46261,,,Kahramanmaraş,TR46,,,Turkey,TR,TUR,0344 236 6798,0344 236 6798,0344 236 6799,,,,10557.0,102.0,Local Government Registration Number,False,5199,"Nondurable goods, nec",,,,2010.0,,,,,,,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,13702217,TRY,331210,277411,3,Modeled
615049828,OSEM GIDA TARIM URUNLERI AMBALAJ PAZARLAMA ITHALAT-IHRACAT SANAYI TICARET LIMITED SIRKETI,,ONDER YAMANEL ZEYTIN BORSASI 2. BLOK NO:17,AKHISAR,,Manisa,TR45262,,,Manisa,TR45,,,Turkey,TR,TUR,0236 413 9399,0236 413 9399,,,,,8195.0,102.0,Local Government Registration Number,False,2033,Canned fruits and specialties,,,,,,,,,,,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,15948453,TRY,385506,322888,3,Modeled
792539449,ERDENER ATIK,,IKITELLI ORG.SAN.SIT,IKITELLI,34490.0,İstanbul,TR34012,,,İstanbul,TR34,,,Turkey,TR,TUR,0533 669 7255,,,0533 669 7255,,,,,,,5499,Miscellaneous food stores,,,,2004.0,,Erdener Atik,Manager,ERDENER,ATIK,Male,,3,0,Actual,3,0,Actual,G,None or Not Available,,,0,SingleLocation,10874852,TRY,349148,292436,3,Modeled
631005039,CSM-2B MUHENDISLIK ILETISIM INSAAT TAAHHUT TICARET LIMITED SIRKETI,,"ALI SEPICI BL. NO:23 ADAKOGLU,  AP. B TOROS MAH.",CUKUROVA,1170.0,Adana,TR01922,,,Adana,TR01,,,Turkey,TR,TUR,,,,,,,65665.0,102.0,Local Government Registration Number,False,8711,Engineering services,,,,2012.0,,Sevgi Gur,Manager,SEVGI,GUR,,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,8403028,TRY,203118,170125,3,Modeled
631197493,FLENDER MEKANIK GUC AKTARMA SISTEMLERI SANAYI VE TICARET ANONIM SIRKETI,,"ISTANBUL MARMARA  B D:110,  NO:72 SOGANLIK YENI MAHALLESI","SOGANLIK D-100 KUZEY YANYOL CADDESI, KARTAL",34880.0,Kordonboyu,TR34017,,,İstanbul,TR34,,,Turkey,TR,TUR,0216 364 3413,0216 364 3413,,,,,142687.0,102.0,Local Government Registration Number,False,3621,Motors and generators,,,M,2018.0,137.0,Fikret Sokullu,Chairman,Fikret,Sokullu,Male,,30,0,Actual,30,0,Actual,B,Imports & Exports,3.0,Corporation,0,SingleLocation,66600814,TRY,1587830,1329919,3,Modeled
615732184,ENDER NAKLIYE TAAHHUT HAYVANCILIK TARIM PLASTIK HAMMADDE SANAYI VE TICARET LIMITED SIRKETI,,NO:2172 SULEYMANIYE MAHALLESI,"K KARABEKIR CADDESI, ISKENDERUN",31200.0,Çay,TR31952,,,Hatay,TR31,,,Turkey,TR,TUR,,,,,,,15190.0,102.0,Local Government Registration Number,False,4731,Freight transportation arrangement,,,,2017.0,,Umit Onayli,Manager,Umit,Onayli,Male,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,15409482,TRY,372478,311976,3,Modeled
630871248,ROTA ASANS DAN INS MAK HAYCILIK OTO REKCILIK MADEN TEKSSAN VE TIC LTD STI ESKISEHIR IMISEH,,NO.19 IMISEHIR MAH. 110.SOK.,ODUNPAZARI,26100.0,Yeni,TR26455,,,Eskişehir,TR26,,,Turkey,TR,TUR,,,,,,,39533.0,102.0,Local Government Registration Number,False,8748,"Business consulting, nec",,,,2015.0,,Ozlem Karatas,Manager,Ozlem,Karatas,Female,,2,3,Modeled,2,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,5325914,TRY,128738,107827,3,Modeled
615604139,METROPARK GAYRIMENKUL YATIRIM DANISMANLIGI SANAYI VE TICARET LIMITED SIRKETI,,"UNLU ISHANI K:2/101,  ANKARA CADDESI",MERKEZ,68000.0,Hacıismailli,TR68588,,,Aksaray,TR68,,,Turkey,TR,TUR,0382 213 6611,0382 213 6611,,0542 500 0635,,https://www.hayatgayrimenkul.com/,7711.0,102.0,Local Government Registration Number,False,6531,Real estate agents and managers,,,,2017.0,,Mevlut Bilgic,Manager,Mevlut,Bilgic,Male,,1,3,Modeled,1,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,3446591,TRY,83311,69778,3,Modeled
615637134,KARTUR LOJISTIK VE TASIMACILIK TICARET LIMITED SIRKETI,,57/3 KOC CAD.YENI SAHRA MAH.,ATASEHIR,34746.0,İstanbul,TR34012,,,İstanbul,TR34,,,Turkey,TR,TUR,,,,,,,801536.0,102.0,Local Government Registration Number,False,4789,"Transportation services, nec",,,,2011.0,,Abdulkadir Haliloglu,Manager,ABDULKADIR,HALILOGLU,,,3,3,Modeled,3,3,Modeled,G,None or Not Available,3.0,Corporation,0,SingleLocation,21193240,TRY,512283,429073,3,Modeled
